sdf_file	smiles	score	convert_loss
2.sdf	COc1ccccc1OCC(CO)O	-7.8592013120651245	0.9374967813491821
1.sdf	c1c(cc(c(c1C(O)=O)N)[Cl])[Cl]	-1.8423926830291748	1.1576297283172607
3.sdf	C(CN1CCOCC1)N	3.4769927263259888	1.4868777990341187
