Smile
O=C(NCCCN1CC1)Nc1cccc2ccccc12
CC(C)=CCC/C(/C)=C\C(N)=O
Cc1cc(nc2cc(ccc12)OC)N1C[C@H](C2CC2)[C@H](C1)N
C1[C@H](c2ccccc2)[C@H](CN1S(c1ccc2c(c1)NC(N2)=O)(=O)=O)N
CC(NS(c(cc1)cc2c1sc(C)n2)(=O)=O)=O
Cc1nc(CCN)cc(n1)N(C)Cc1cccc(c1)C(F)(F)F
C1CN(Cc2ccccc12)c1c2CCNCc2nc(c2cccnc2)n1
C1C(CN)Oc2c1cc(cc2F)c1ccc2c(cco2)c1
C(c1cc(ccc1F)c1ccc(cc1)c1csc(N)n1)O
Cc1c(C(C(N2CCC(CCCc3ccccc3)CC2)=O)N)c(C)[nH]n1
C1C(CN1Cc1ccc(cc1)OCCO)Oc1ccccc1[Cl]
C1CCC(C1)(C#N)c1ccc(cc1)c1cccc2CNCCc12
CC(C)CCOc1cccc(CCNC(C2CC3(CCNCC3)CN2)=O)c1
C1CN(CCC1C1CCN(CCc2ccccc2)C1)c1ccnc(N)n1
Cc1ccccc1c1nc(CCC(N2CCCC(CCN)C2)=O)on1
CC(C)(CCCC1(C)C(OCCO)=C2)C1=CC2=O
Cc1ccc(NCCCNC(c2cn(CCN)nn2)=O)nc1
Cc1c(C(C(NCCNc2cccnc2)=O)N)c(C)[nH]n1
C1CNCc2c1c1C(N(C=Nc1s2)C1c2ccccc2c2ccccc12)=O
Cc1cc2CC(CN)Oc2c(c1)c1cnc2ccccc2n1
C1CNCc2cccc(c3cccc4c3cc[nH]4)c12
C1CC(CNC1)c1cc(c2ccc(c(c2)[Cl])[Cl])nc(c1C#N)N
[H]N1CCCn2c(C1)cc(CNS(c1ccc(cc1)n1cccn1)(=O)=O)n2
C1CC[C@H]([C@H](C1)CNCCC(Nc1ccc(cc1)C(N)=O)=O)O
C1CN(Cc2ccc(cc2)Oc2ccc(cc2)[Cl])C[C@H]([C@H]1CO)O
Cc1cnc(CNCc2ccc(cc2)OCC(N2CCOCC2)=O)cn1
Cc1cc(cc(c1CNc1c2CCNCc2nc(C)n1)[Cl])[Cl]
CCCCOc(cc1)ccc1OC(Nc(cc(cc1)Cl)c1OC)=O
C1CN2CCC1C(C2)NCc1cccnc1Oc1ccc(c(c1)F)F
Cc1cc(N)n(CC(N2C[C@H]3COc4ccccc4C[C@]3(C2)C(O)=O)=O)n1
C1CN(CCC1N1C(Nc2ccccc12)=O)c1cc(NCCO)nc(N)n1
CC1CC2(C)CC(C)C1(CO)CO2
CNc1cc(c2ccc(cc2)c2nnc(N)s2)c2cc[nH]c2n1
C1CN(Cc2c(c3cccc4ccccc34)noc12)C(c1cc(N)[nH]n1)=O
C1COc2cc(ccc2C1=O)c1cc2CC(CN)Oc2c(c1)[Cl]
C1CNCC2=C1C(NC(NCc1nc(cs1)c1ccc(cc1)F)=N2)=O
